video_id,frame_idx,image_name,split,phase,augment,timestamp
case_0012,78,case_0012_000078.png,train,7,False,1.3
case_0012,230,case_0012_000230.png,train,7,False,3.84
case_0012,383,case_0012_000383.png,train,7,False,6.39
case_0012,535,case_0012_000535.png,train,7,False,8.93
case_0012,627,case_0012_000627.png,train,6,False,10.46
case_0012,651,case_0012_000651.png,train,6,False,10.86
case_0012,675,case_0012_000675.png,train,6,False,11.26
case_0012,699,case_0012_000699.png,train,6,False,11.66
case_0012,723,case_0012_000723.png,train,6,False,12.06
case_0012,747,case_0012_000747.png,train,6,False,12.46
case_0012,770,case_0012_000770.png,train,6,False,12.85
case_0012,794,case_0012_000794.png,train,6,False,13.25
case_0012,818,case_0012_000818.png,train,6,False,13.65
case_0012,842,case_0012_000842.png,train,6,False,14.05
case_0012,866,case_0012_000866.png,train,6,False,14.45
case_0012,890,case_0012_000890.png,train,6,False,14.85
case_0012,914,case_0012_000914.png,train,6,False,15.25
case_0012,937,case_0012_000937.png,train,6,False,15.63
case_0012,961,case_0012_000961.png,train,6,False,16.03
case_0012,985,case_0012_000985.png,train,6,False,16.43
case_0012,1009,case_0012_001009.png,train,6,False,16.83
case_0012,1033,case_0012_001033.png,train,6,False,17.23
case_0012,1057,case_0012_001057.png,train,6,False,17.63
case_0012,1080,case_0012_001080.png,train,6,False,18.02
case_0012,1104,case_0012_001104.png,train,6,False,18.42
case_0012,1128,case_0012_001128.png,train,6,False,18.82
case_0012,1152,case_0012_001152.png,train,6,False,19.22
case_0012,1176,case_0012_001176.png,train,6,False,19.62
case_0012,1200,case_0012_001200.png,train,6,False,20.02
case_0012,1293,case_0012_001293.png,train,26,False,21.57
case_0012,1448,case_0012_001448.png,train,26,False,24.16
case_0012,1611,case_0012_001611.png,train,34,False,26.88
case_0012,1775,case_0012_001775.png,train,34,False,29.61
case_0012,2035,case_0012_002035.png,train,5,False,33.95
case_0012,2385,case_0012_002385.png,train,5,False,39.79
case_0012,2734,case_0012_002734.png,train,5,False,45.61
case_0012,3084,case_0012_003084.png,train,5,False,51.45
case_0012,3434,case_0012_003434.png,train,5,False,57.29
case_0012,3783,case_0012_003783.png,train,5,False,63.11
case_0012,4133,case_0012_004133.png,train,5,False,68.95
case_0012,4441,case_0012_004441.png,train,26,False,74.09
case_0012,4621,case_0012_004621.png,train,12,False,77.09
case_0012,4717,case_0012_004717.png,train,12,False,78.7
case_0012,4813,case_0012_004813.png,train,12,False,80.3
case_0012,4909,case_0012_004909.png,train,12,False,81.9
case_0012,5005,case_0012_005005.png,train,12,False,83.5
case_0012,5101,case_0012_005101.png,train,12,False,85.1
case_0012,5197,case_0012_005197.png,train,12,False,86.7
case_0012,5293,case_0012_005293.png,train,12,False,88.3
case_0012,5389,case_0012_005389.png,train,12,False,89.91
case_0012,5485,case_0012_005485.png,train,12,False,91.51
case_0012,5622,case_0012_005622.png,train,26,False,93.79
case_0012,5792,case_0012_005792.png,train,26,False,96.63
case_0012,5963,case_0012_005963.png,train,26,False,99.48
case_0012,6133,case_0012_006133.png,train,26,False,102.32
case_0012,6303,case_0012_006303.png,train,26,False,105.16
case_0012,6400,case_0012_006400.png,train,32,False,106.77
case_0012,6414,case_0012_006414.png,train,32,False,107.01
case_0012,6429,case_0012_006429.png,train,32,False,107.26
case_0012,6443,case_0012_006443.png,train,32,False,107.49
case_0012,6457,case_0012_006457.png,train,32,False,107.72
case_0012,6472,case_0012_006472.png,train,32,False,107.97
case_0012,6486,case_0012_006486.png,train,32,False,108.21
case_0012,6501,case_0012_006501.png,train,32,False,108.46
case_0012,6515,case_0012_006515.png,train,32,False,108.69
case_0012,6529,case_0012_006529.png,train,32,False,108.93
case_0012,6544,case_0012_006544.png,train,32,False,109.18
case_0012,6558,case_0012_006558.png,train,32,False,109.41
case_0012,6573,case_0012_006573.png,train,32,False,109.66
case_0012,6587,case_0012_006587.png,train,32,False,109.89
case_0012,6602,case_0012_006602.png,train,32,False,110.14
case_0012,6616,case_0012_006616.png,train,32,False,110.38
case_0012,6630,case_0012_006630.png,train,32,False,110.61
case_0012,6645,case_0012_006645.png,train,32,False,110.86
case_0012,6659,case_0012_006659.png,train,32,False,111.09
case_0012,6674,case_0012_006674.png,train,32,False,111.34
case_0012,6688,case_0012_006688.png,train,32,False,111.58
case_0012,6702,case_0012_006702.png,train,32,False,111.81
case_0012,6717,case_0012_006717.png,train,32,False,112.06
case_0012,6731,case_0012_006731.png,train,32,False,112.3
case_0012,6746,case_0012_006746.png,train,32,False,112.55
case_0012,6760,case_0012_006760.png,train,32,False,112.78
case_0012,6774,case_0012_006774.png,train,32,False,113.01
case_0012,6789,case_0012_006789.png,train,32,False,113.26
case_0012,6803,case_0012_006803.png,train,32,False,113.5
case_0012,7166,case_0012_007166.png,train,18,False,119.55
case_0012,7869,case_0012_007869.png,train,18,False,131.28
case_0012,8572,case_0012_008572.png,train,18,False,143.01
case_0012,9276,case_0012_009276.png,train,18,False,154.75
case_0012,9979,case_0012_009979.png,train,18,False,166.48
case_0012,10682,case_0012_010682.png,train,18,False,178.21
case_0012,11138,case_0012_011138.png,train,26,False,185.82
case_0012,11340,case_0012_011340.png,train,26,False,189.19
case_0012,11541,case_0012_011541.png,train,26,False,192.54
case_0012,11964,case_0012_011964.png,train,18,False,199.6
case_0012,12600,case_0012_012600.png,train,18,False,210.21
case_0012,12929,case_0012_012929.png,train,32,False,215.7
case_0012,12943,case_0012_012943.png,train,32,False,215.93
case_0012,12958,case_0012_012958.png,train,32,False,216.18
case_0012,12972,case_0012_012972.png,train,32,False,216.42
case_0012,12987,case_0012_012987.png,train,32,False,216.67
